ItemNumber	WordNumber	WordFromItem	Type	Region	NumberInRegion
6	5	who	critical_g	who	1
6	6	the	critical_g	n3	1
6	7	professor	critical_g	n3	2
6	8	hated	critical_g	v3	1
6	9	dropped	critical_g	v2	1
6	10	out	critical_g	v2	2
6	11	made	critical_g	v1	1
6	12	the	critical_g	v1	2
6	13	professor	critical_g	v1	3
6	14	happy.	critical_g	v1	4
6	0	The	critical_u	d1	1
6	1	NOUN	critical_u	n1	1
6	2	that	critical_u	that	1
6	3	the	critical_u	n2	1
6	4	student	critical_u	n2	2
6	5	who	critical_u	who	1
6	6	the	critical_u	n3	1
6	7	professor	critical_u	n3	2
6	8	hated	critical_u	v3	1
6	9	made	critical_u	v1	1
6	10	the	critical_u	v1	2
6	11	professor	critical_u	v1	3
6	12	happy.	critical_u	v1	4
7	0	The	critical_g	d1	1
7	1	NOUN	critical_g	n1	1
7	2	that	critical_g	that	1
7	3	the	critical_g	n2	1
7	4	mobster	critical_g	n2	2
7	5	who	critical_g	who	1
7	6	the	critical_g	n3	1
7	7	media	critical_g	n3	2
7	8	portrayed	critical_g	v3	1
7	9	had	critical_g	v2	1
7	10	disappeared	critical_g	v2	2
7	11	turned	critical_g	v1	1
7	12	out	critical_g	v1	2
7	13	to	critical_g	v1	3
7	14	be	critical_g	v1	4
7	15	true.	critical_g	v1	5
7	0	The	critical_u	d1	1
7	1	NOUN	critical_u	n1	1
7	2	that	critical_u	that	1
7	3	the	critical_u	n2	1
7	4	mobster	critical_u	n2	2
7	5	who	critical_u	who	1
7	6	the	critical_u	n3	1
7	7	media	critical_u	n3	2
7	8	portrayed	critical_u	v3	1
7	9	turned	critical_u	v1	1
7	10	out	critical_u	v1	2
7	11	to	critical_u	v1	3
7	12	be	critical_u	v1	4
7	13	true.	critical_u	v1	5
8	0	The	critical_g	d1	1
8	1	NOUN	critical_g	n1	1
8	2	that	critical_g	that	1
8	3	the	critical_g	n2	1
8	4	actor	critical_g	n2	2
8	5	who	critical_g	who	1
8	6	the	critical_g	n3	1
8	7	starlet	critical_g	n3	2
8	8	loved	critical_g	v3	1
8	9	was	critical_g	v2	1
8	10	missing	critical_g	v2	2
8	11	made	critical_g	v1	1
8	12	her	critical_g	v1	2
8	13	cry.	critical_g	v1	3
8	0	The	critical_u	d1	1
8	1	NOUN	critical_u	n1	1
8	2	that	critical_u	that	1
8	3	the	critical_u	n2	1
8	4	actor	critical_u	n2	2
8	5	who	critical_u	who	1
8	6	the	critical_u	n3	1
8	7	starlet	critical_u	n3	2
8	8	loved	critical_u	v3	1
8	9	made	critical_u	v1	1
8	10	her	critical_u	v1	2
8	11	cry.	critical_u	v1	3
9	0	The	critical_g	d1	1
9	1	NOUN	critical_g	n1	1
9	2	that	critical_g	that	1
9	3	the	critical_g	n2	1
9	4	preacher	critical_g	n2	2
9	5	who	critical_g	who	1
9	6	the	critical_g	n3	1
9	7	parishioners	critical_g	n3	2
9	8	fired	critical_g	v3	1
9	9	stole	critical_g	v2	1
9	10	money	critical_g	v2	2
9	11	proved	critical_g	v1	1
9	12	to	critical_g	v1	2
9	13	be	critical_g	v1	3
9	14	true.	critical_g	v1	4
9	0	The	critical_u	d1	1
9	1	NOUN	critical_u	n1	1
9	2	that	critical_u	that	1
9	3	the	critical_u	n2	1
9	4	preacher	critical_u	n2	2
9	5	who	critical_u	who	1
9	6	the	critical_u	n3	1
9	7	parishioners	critical_u	n3	2
9	8	fired	critical_u	v3	1
9	9	proved	critical_u	v1	1
9	10	to	critical_u	v1	2
9	11	be	critical_u	v1	3
9	12	true.	critical_u	v1	4
10	0	The	critical_g	d1	1
10	1	NOUN	critical_g	n1	1
10	2	that	critical_g	that	1
10	3	the	critical_g	n2	1
10	4	violinist	critical_g	n2	2
10	5	who	critical_g	who	1
10	6	the	critical_g	n3	1
10	7	sponsors	critical_g	n3	2
10	8	backed	critical_g	v3	1
10	9	abused	critical_g	v2	1
10	10	drugs	critical_g	v2	2
10	11	is	critical_g	v1	1
10	12	likely	critical_g	v1	2
10	13	true.	critical_g	v1	3
10	0	The	critical_u	d1	1
10	1	NOUN	critical_u	n1	1
10	2	that	critical_u	that	1
10	3	the	critical_u	n2	1
10	4	violinist	critical_u	n2	2
10	5	who	critical_u	who	1
10	6	the	critical_u	n3	1
10	7	sponsors	critical_u	n3	2
10	8	backed	critical_u	v3	1
10	9	is	critical_u	v1	1
10	10	likely	critical_u	v1	2
10	11	true.	critical_u	v1	3
11	0	The	critical_g	d1	1
11	1	NOUN	critical_g	n1	1
11	2	that	critical_g	that	1
11	3	the	critical_g	n2	1
11	4	senator	critical_g	n2	2
11	5	who	critical_g	who	1
11	6	the	critical_g	n3	1
11	7	diplomat	critical_g	n3	2
11	8	opposed	critical_g	v3	1
11	9	was	critical_g	v2	1
11	10	winning	critical_g	v2	2
11	11	really	critical_g	v1	1
11	12	made	critical_g	v1	2
11	13	him	critical_g	v1	3
11	14	angry.	critical_g	v1	4
11	0	The	critical_u	d1	1
11	1	NOUN	critical_u	n1	1
11	2	that	critical_u	that	1
11	3	the	critical_u	n2	1
11	4	senator	critical_u	n2	2
11	5	who	critical_u	who	1
11	6	the	critical_u	n3	1
11	7	diplomat	critical_u	n3	2
11	8	opposed	critical_u	v3	1
11	9	really	critical_u	v1	1
11	10	made	critical_u	v1	2
11	11	him	critical_u	v1	3
11	12	angry.	critical_u	v1	4
12	0	The	critical_g	d1	1
12	1	NOUN	critical_g	n1	1
12	2	that	critical_g	that	1
12	3	the	critical_g	n2	1
12	4	commander	critical_g	n2	2
12	5	who	critical_g	who	1
12	6	the	critical_g	n3	1
12	7	president	critical_g	n3	2
12	8	appointed	critical_g	v3	1
12	9	was	critical_g	v2	1
12	10	corrupt	critical_g	v2	2
12	11	troubled	critical_g	v1	1
12	12	people.	critical_g	v1	2
12	0	The	critical_u	d1	1
12	1	NOUN	critical_u	n1	1
12	2	that	critical_u	that	1
12	3	the	critical_u	n2	1
12	4	commander	critical_u	n2	2
12	5	who	critical_u	who	1
12	6	the	critical_u	n3	1
12	7	president	critical_u	n3	2
12	8	appointed	critical_u	v3	1
12	9	troubled	critical_u	v1	1
12	10	people.	critical_u	v1	2
13	0	The	critical_g	d1	1
13	1	NOUN	critical_g	n1	1
13	2	that	critical_g	that	1
13	3	the	critical_g	n2	1
13	4	victims	critical_g	n2	2
13	5	who	critical_g	who	1
13	6	the	critical_g	n3	1
13	7	criminal	critical_g	n3	2
13	8	assaulted	critical_g	v3	1
13	9	were	critical_g	v2	1
13	10	surviving	critical_g	v2	2
13	11	calmed	critical_g	v1	1
13	12	everyone	critical_g	v1	2
13	13	down.	critical_g	v1	3
13	0	The	critical_u	d1	1
13	1	NOUN	critical_u	n1	1
13	2	that	critical_u	that	1
13	3	the	critical_u	n2	1
13	4	victims	critical_u	n2	2
13	5	who	critical_u	who	1
13	6	the	critical_u	n3	1
13	7	criminal	critical_u	n3	2
13	8	assaulted	critical_u	v3	1
13	9	calmed	critical_u	v1	1
13	10	everyone	critical_u	v1	2
13	11	down.	critical_u	v1	3
14	0	The	critical_g	d1	1
14	1	NOUN	critical_g	n1	1
14	2	that	critical_g	that	1
14	3	the	critical_g	n2	1
14	4	politician	critical_g	n2	2
14	5	who	critical_g	who	1
14	6	the	critical_g	n3	1
14	7	banker	critical_g	n3	2
14	8	bribed	critical_g	v3	1
14	9	laundered	critical_g	v2	1
14	10	money	critical_g	v2	2
14	11	came	critical_g	v1	1
14	12	as	critical_g	v1	2
14	13	a	critical_g	v1	3
14	14	shock	critical_g	v1	4
14	15	to	critical_g	v1	5
14	16	his	critical_g	v1	6
14	17	supporters.	critical_g	v1	7
14	0	The	critical_u	d1	1
14	1	NOUN	critical_u	n1	1
14	2	that	critical_u	that	1
14	3	the	critical_u	n2	1
14	4	politician	critical_u	n2	2
14	5	who	critical_u	who	1
14	6	the	critical_u	n3	1
14	7	banker	critical_u	n3	2
14	8	bribed	critical_u	v3	1
14	9	came	critical_u	v1	1
14	10	as	critical_u	v1	2
14	11	a	critical_u	v1	3
14	12	shock	critical_u	v1	4
14	13	to	critical_u	v1	5
14	14	his	critical_u	v1	6
14	15	supporters.	critical_u	v1	7
15	0	The	critical_g	d1	1
15	1	NOUN	critical_g	n1	1
15	2	that	critical_g	that	1
15	3	the	critical_g	n2	1
15	4	surgeon	critical_g	n2	2
15	5	who	critical_g	who	1
15	6	the	critical_g	n3	1
15	7	patient	critical_g	n3	2
15	8	thanked	critical_g	v3	1
15	9	had	critical_g	v2	1
15	10	no	critical_g	v2	2
15	11	degree	critical_g	v2	3
15	12	was	critical_g	v1	1
15	13	not	critical_g	v1	2
15	14	a	critical_g	v1	3
15	15	surprise.	critical_g	v1	4
15	0	The	critical_u	d1	1
15	1	NOUN	critical_u	n1	1
15	2	that	critical_u	that	1
15	3	the	critical_u	n2	1
15	4	surgeon	critical_u	n2	2
15	5	who	critical_u	who	1
15	6	the	critical_u	n3	1
15	7	patient	critical_u	n3	2
15	8	thanked	critical_u	v3	1
15	9	was	critical_u	v1	1
15	10	not	critical_u	v1	2
15	11	a	critical_u	v1	3
15	12	surprise.	critical_u	v1	4
16	0	The	critical_g	d1	1
16	1	NOUN	critical_g	n1	1
16	2	that	critical_g	that	1
16	3	the	critical_g	n2	1
16	4	extremist	critical_g	n2	2
16	5	who	critical_g	who	1
16	6	the	critical_g	n3	1
16	7	agent	critical_g	n3	2
16	8	caught	critical_g	v3	1
16	9	got	critical_g	v2	1
16	10	an	critical_g	v2	2
16	11	award	critical_g	v2	3
16	12	was	critical_g	v1	1
16	13	disconcerting.	critical_g	v1	2
16	0	The	critical_u	d1	1
16	1	NOUN	critical_u	n1	1
16	2	that	critical_u	that	1
16	3	the	critical_u	n2	1
16	4	extremist	critical_u	n2	2
16	5	who	critical_u	who	1
16	6	the	critical_u	n3	1
16	7	agent	critical_u	n3	2
16	8	caught	critical_u	v3	1
16	9	was	critical_u	v1	1
16	10	disconcerting.	critical_u	v1	2
17	0	The	critical_g	d1	1
17	1	NOUN	critical_g	n1	1
17	2	that	critical_g	that	1
17	3	the	critical_g	n2	1
17	4	clerk	critical_g	n2	2
17	5	who	critical_g	who	1
17	6	the	critical_g	n3	1
17	7	customer	critical_g	n3	2
17	8	called	critical_g	v3	1
17	9	was	critical_g	v2	1
17	10	a	critical_g	v2	2
17	11	hero	critical_g	v2	3
17	12	seemed	critical_g	v1	1
17	13	absurd.	critical_g	v1	2
17	0	The	critical_u	d1	1
17	1	NOUN	critical_u	n1	1
17	2	that	critical_u	that	1
17	3	the	critical_u	n2	1
17	4	clerk	critical_u	n2	2
17	5	who	critical_u	who	1
17	6	the	critical_u	n3	1
17	7	customer	critical_u	n3	2
17	8	called	critical_u	v3	1
17	9	seemed	critical_u	v1	1
17	10	absurd.	critical_u	v1	2
18	0	The	critical_g	d1	1
18	1	NOUN	critical_g	n1	1
18	2	that	critical_g	that	1
18	3	the	critical_g	n2	1
18	4	trader	critical_g	n2	2
18	5	who	critical_g	who	1
18	6	the	critical_g	n3	1
18	7	businessman	critical_g	n3	2
18	8	consulted	critical_g	v3	1
18	9	had	critical_g	v2	1
18	10	insider	critical_g	v2	2
18	11	information	critical_g	v2	3
18	12	was	critical_g	v1	1
18	13	confirmed.	critical_g	v1	2
18	0	The	critical_u	d1	1
18	1	NOUN	critical_u	n1	1
18	2	that	critical_u	that	1
18	3	the	critical_u	n2	1
18	4	trader	critical_u	n2	2
18	5	who	critical_u	who	1
18	6	the	critical_u	n3	1
18	7	businessman	critical_u	n3	2
18	8	consulted	critical_u	v3	1
18	9	was	critical_u	v1	1
18	10	confirmed.	critical_u	v1	2
19	0	The	critical_g	d1	1
19	1	NOUN	critical_g	n1	1
19	2	that	critical_g	that	1
19	3	the	critical_g	n2	1
19	4	CEO	critical_g	n2	2
19	5	who	critical_g	who	1
19	6	the	critical_g	n3	1
19	7	employee	critical_g	n3	2
19	8	impressed	critical_g	v3	1
19	9	was	critical_g	v2	1
19	10	retiring	critical_g	v2	2
19	11	was	critical_g	v1	1
19	12	entirely	critical_g	v1	2
19	13	correct.	critical_g	v1	3
19	0	The	critical_u	d1	1
19	1	NOUN	critical_u	n1	1
19	2	that	critical_u	that	1
19	3	the	critical_u	n2	1
19	4	CEO	critical_u	n2	2
19	5	who	critical_u	who	1
19	6	the	critical_u	n3	1
19	7	employee	critical_u	n3	2
19	8	impressed	critical_u	v3	1
19	9	was	critical_u	v1	1
19	10	entirely	critical_u	v1	2
19	11	correct.	critical_u	v1	3
